Nama Produk,Harga,Nama Pelanggan,Email,Alamat,Metode Pembayaran
Es Pisang Ijo Klasik,50000,IRFAN,inagdfytfawd@gmail.com,45gd,cod
Es Pisang Ijo Coklat,55000,IRFAN,inagdfytfawd@gmail.com,45gd,cod
Es Pisang Ijo Durian,60000,IRFAN,inagdfytfawd@gmail.com,45gd,cod
Es Pisang Ijo Durian,60000,IRFAN,inagdfytfawd@gmail.com,45gd,cod
Es Pisang Ijo Coklat,55000,IRFAN,inagdfytfawd@gmail.com,45gd,cod
Es Pisang Ijo Klasik,50000,dcdc,inagdfytfawd@gmail.com,5ryr,transfer
Es Pisang Ijo Coklat,55000,dcdc,inagdfytfawd@gmail.com,5ryr,transfer
Es Pisang Ijo Durian,60000,dcdc,inagdfytfawd@gmail.com,5ryr,transfer
Es Pisang Ijo Klasik,50000,Indra,inagdfytfawd@gmail.com,dsfefe,transfer
Es Pisang Ijo Coklat,55000,Indra,inagdfytfawd@gmail.com,dsfefe,transfer
Es Pisang Ijo Durian,60000,Indra,inagdfytfawd@gmail.com,dsfefe,transfer
Es Pisang Ijo Klasik,50000,ipan,inagdfytfawd@gmail.com,bmnbmn,cod
Es Pisang Ijo Coklat,55000,ipan,inagdfytfawd@gmail.com,bmnbmn,cod
Es Pisang Ijo Durian,60000,ipan,inagdfytfawd@gmail.com,bmnbmn,cod
